MoRTH_UID,Location_Stretch_Name,State,Road_Number,District,Police_Station,Latitude,Longitude,Chainage_Start_km,Chainage_End_km,Accidents_2016,Accidents_2017,Accidents_2018,Accidents_2019,Fatalities_2016,Fatalities_2017,Fatalities_2018,Fatalities_2019,Total_Fatalities_2016_2019,Source
PB-(02)-120,Fair Farm Resort,PB,NH 44,Jalandhar,Division 1,31.370167,75.553352,382.921,383.421,3,2,0,0,3,1,0,0,4,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-121,Verka Milk Plant Under Bridge,PB,NH 44,Jalandhar,Division 1,31.363190,75.560041,381.918,382.418,2,6,0,0,1,5,0,0,6,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-122,Y-Point Bhagat Singh Colony,PB,NH 44,Jalandhar,Division 1,31.360469,75.562173,381.574,382.074,4,3,1,0,0,1,3,0,4,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-123,T-Point Jinda Road,PB,NH 44,Jalandhar,Division 1,31.367432,75.556009,382.526,383.026,3,1,3,1,2,5,1,1,9,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-124,Butta Singh Building Material Store,PB,NH 44,Jalandhar,Division 8,31.356453,75.586121,379.237,379.737,1,4,1,2,1,4,1,1,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-125,Pathankot Chowk,PB,NH 44,Jalandhar,Division 8,31.354614,75.590485,378.770,379.270,4,3,3,2,3,1,2,1,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-126,Lamba Pind Chowk,PB,NH 44,Jalandhar,Division 8,31.347472,75.602216,377.400,377.900,2,2,2,8,4,1,1,4,10,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-127,T-Point Suchi Pind,PB,NH 44,Jalandhar,Division 8,31.341758,75.608433,376.510,377.010,4,2,3,0,3,1,4,0,8,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-128,Reru,PB,NH 44,Jalandhar,Division 8,31.359203,75.593089,377.631,378.229,3,1,1,0,1,1,1,0,3,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-129,T-Point Hill View Colony Kalia Colony,PB,NH 44,Jalandhar,Rama Mandi,31.360489,75.566942,381.133,381.633,2,3,3,1,2,2,2,1,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-130,Opposite JC Resort,PB,NH 44,Jalandhar,Rama Mandi,31.325633,75.615095,374.604,375.104,3,4,2,1,2,4,2,1,9,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-131,Dhanowali Road,PB,NH 44,Jalandhar,Rama Mandi,31.291749,75.656637,367.997,368.497,0,4,6,3,0,2,3,2,7,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-132,Rama Mandi Chowk,PB,NH 44,Jalandhar,Sadar Jalandhar,31.307156,75.627179,371.319,371.819,1,2,2,1,1,4,3,1,9,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-133,Birring Gate Dakoha Fatak,PB,NH 44,Jalandhar,Jalandhar Cantt,31.303420,75.638335,370.178,370.678,2,1,2,3,2,2,2,3,9,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-134,Bapraur-Shambu near Surya World College,PB,NH 44,Patiala,Shambu,30.419000,76.709800,216.559,217.059,2,3,6,8,2,4,4,5,15,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-135,Ghaggar Sarai Shambu to Rajpura,PB,NH 44,Patiala,Shambu,30.449000,76.658200,222.528,223.028,2,3,4,2,1,3,3,2,9,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-136,Near Sarai Mughal Shambu,PB,NH 44,Patiala,Shambu,30.433974,76.684334,219.515,220.015,3,7,4,4,4,5,3,4,16,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-137,Rajpura-Ambala Highway,PB,NH 44,Patiala,City Rajpura,30.494900,76.579200,232.255,232.755,1,1,3,0,1,2,2,0,5,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-138,Eagle Motel Rajpura-Ambala Road,PB,NH 44,Patiala,City Rajpura,30.486000,76.603400,229.380,229.880,1,1,3,1,0,0,0,0,0,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-139,Near Nogaja Peer Pilakhni Rajpura,PB,NH 44,Patiala,Sadar/City Rajpura,30.500200,76.570300,233.291,233.791,1,0,4,5,0,1,1,4,6,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
PB-(02)-140,Near Shambu Barrier Ambala-Rajpura Road,PB,NH 44,Patiala,Shambu,30.413700,76.719100,215.489,215.989,1,5,5,3,0,6,3,1,10,MoRTH/NHAI-IDC Black Spot Report NH-44 Punjab (2016-2019)
