MoRTH_UID,Location_Stretch_Name,State,Road_Number,District,Police_Station,Latitude,Longitude,Chainage_Start_km,Chainage_End_km,Accidents_2016,Accidents_2017,Accidents_2018,Accidents_2019,Fatalities_2016,Fatalities_2017,Fatalities_2018,Fatalities_2019,Total_Fatalities_2016_2019,Source
TN-(01)-001,Chengalpattu Toll Plaza Approach,Tamil Nadu,NH-32,Chengalpattu,Chengalpattu Taluk,12.7170,79.9806,45.2,45.7,12,14,10,15,4,5,3,6,18,MoRTH Annual Report on Road Accidents in India 2019
TN-(01)-002,Mamallapuram Junction NH-32,Tamil Nadu,NH-32,Kanchipuram,Mamallapuram,12.6160,80.1915,55.0,55.5,8,9,11,10,2,3,4,3,12,IRAD 2020
TN-(01)-003,Villupuram Bypass North,Tamil Nadu,NH-38,Villupuram,Villupuram Town,11.9540,79.4938,158.3,158.8,14,12,15,13,6,4,5,4,19,MoRTH Annual Report on Road Accidents in India 2019
TN-(01)-004,Villupuram Bypass South,Tamil Nadu,NH-38,Villupuram,Villupuram Taluk,11.9215,79.4820,161.2,161.7,10,11,9,12,3,4,2,5,14,MoRTH Annual Report on Road Accidents in India 2019
TN-(01)-005,Ulundurpettai Toll Plaza,Tamil Nadu,NH-38,Kallakurichi,Ulundurpet,11.6881,79.2882,201.5,202.0,15,18,16,20,5,7,6,8,26,IRAD 2020
TN-(01)-006,Perambalur Bypass,Tamil Nadu,NH-38,Perambalur,Perambalur,11.2335,78.8821,260.4,260.9,9,10,8,11,3,4,2,4,13,MoRTH Annual Report on Road Accidents in India 2019
TN-(01)-007,Trichy Samayapuram Toll,Tamil Nadu,NH-38,Tiruchirappalli,Samayapuram,10.9254,78.7407,305.1,305.6,12,14,13,15,4,5,4,6,19,IRAD 2020
TN-(01)-008,Salem Kondalampatti Bypass,Tamil Nadu,NH-544,Salem,Kondalampatti,11.6241,78.1368,14.2,14.7,11,9,12,10,4,3,5,3,15,MoRTH Annual Report on Road Accidents in India 2019
TN-(01)-009,Magudanchavadi Junction,Tamil Nadu,NH-544,Salem,Magudanchavadi,11.5303,77.9890,32.5,33.0,8,7,9,11,2,3,3,4,12,IRAD 2020
TN-(01)-010,Sankari Toll Plaza,Tamil Nadu,NH-544,Salem,Sankari,11.4932,77.8687,45.1,45.6,14,15,13,16,5,6,4,7,22,MoRTH Annual Report on Road Accidents in India 2019
