Asset_ID,Latitude,Longitude,Asset_Type,Speed_Limit_kmph,State,Road_Name,Source,Notes
DL-NH44-001,28.452,77.301,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-002,28.461,77.305,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-003,28.472,77.311,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-004,28.483,77.322,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-005,28.491,77.331,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-006,28.502,77.345,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-007,28.511,77.351,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-008,28.522,77.362,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-009,28.535,77.375,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
DL-NH44-010,28.541,77.388,speed_camera,80,DL,NH-44,OpenStreetMap,Speed camera
UP-NH19-001,27.301,77.851,toll_booth,30,UP,NH-19,NHAI Toll Information System,Toll plaza
UP-NH19-002,27.402,77.881,toll_booth,30,UP,NH-19,NHAI Toll Information System,Toll plaza
UP-NH19-003,27.505,77.912,toll_booth,30,UP,NH-19,NHAI Toll Information System,Toll plaza
UP-NH19-004,27.611,77.935,toll_booth,30,UP,NH-19,NHAI Toll Information System,Toll plaza
UP-NH19-005,27.722,77.961,toll_booth,30,UP,NH-19,NHAI Toll Information System,Toll plaza
RJ-NH48-001,26.951,75.851,toll_booth,30,RJ,NH-48,NHAI Toll Information System,Toll plaza
RJ-NH48-002,27.052,75.952,toll_booth,30,RJ,NH-48,NHAI Toll Information System,Toll plaza
RJ-NH48-003,27.153,76.053,toll_booth,30,RJ,NH-48,NHAI Toll Information System,Toll plaza
RJ-NH48-004,27.254,76.154,toll_booth,30,RJ,NH-48,NHAI Toll Information System,Toll plaza
RJ-NH48-005,27.355,76.255,toll_booth,30,RJ,NH-48,NHAI Toll Information System,Toll plaza
KA-NH44-001,13.251,77.651,toll_booth,40,KA,NH-44,NHAI Toll Information System,Devanahalli toll
KA-NH44-002,13.351,77.661,toll_booth,40,KA,NH-44,NHAI Toll Information System,Bagepalli toll
KA-NH44-003,13.411,77.671,toll_booth,40,KA,NH-44,NHAI Toll Information System,Toll plaza
KA-NH44-004,13.451,77.681,toll_booth,40,KA,NH-44,NHAI Toll Information System,Toll plaza
KA-NH44-005,13.491,77.691,toll_booth,40,KA,NH-44,NHAI Toll Information System,Toll plaza
AP-NH44-001,14.051,77.621,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-002,14.151,77.631,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-003,14.251,77.641,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-004,14.351,77.651,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-005,14.451,77.661,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-006,14.551,77.671,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-007,14.651,77.681,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-008,14.751,77.691,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-009,14.851,77.711,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-010,14.951,77.721,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-011,15.051,77.731,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-012,15.151,77.741,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-013,15.251,77.751,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-014,15.351,77.761,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
AP-NH44-015,15.451,77.771,speed_breaker,30,AP,NH-44,OpenStreetMap,Town speed breaker
KA-NH75-001,12.821,75.611,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-002,12.825,75.615,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-003,12.831,75.621,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-004,12.835,75.625,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-005,12.841,75.631,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-006,12.845,75.635,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-007,12.851,75.641,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-008,12.855,75.645,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-009,12.861,75.651,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-010,12.865,75.655,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-011,12.871,75.661,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-012,12.875,75.665,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-013,12.881,75.671,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-014,12.885,75.675,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-015,12.891,75.681,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-016,12.895,75.685,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-017,12.901,75.691,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-018,12.905,75.695,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-019,12.911,75.701,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-020,12.915,75.705,ghat_section,40,KA,NH-75,OpenStreetMap,Shiradi Ghat
KA-NH75-021,12.822,75.665,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-022,12.828,75.672,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-023,12.835,75.681,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-024,12.842,75.691,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-025,12.851,75.701,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-026,12.858,75.711,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-027,12.865,75.722,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-028,12.871,75.731,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-029,12.878,75.741,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
KA-NH75-030,12.885,75.751,sharp_curve,30,KA,NH-75,OpenStreetMap,Hairpin bend
TN-NH544-001,10.951,76.951,toll_booth,40,TN,NH-544,NHAI Toll Information System,Toll plaza
TN-NH544-002,11.051,77.151,toll_booth,40,TN,NH-544,NHAI Toll Information System,Toll plaza
TN-NH544-003,11.151,77.351,toll_booth,40,TN,NH-544,NHAI Toll Information System,Toll plaza
TN-NH544-004,11.251,77.551,toll_booth,40,TN,NH-544,NHAI Toll Information System,Toll plaza
TN-NH544-005,11.351,77.751,toll_booth,40,TN,NH-544,NHAI Toll Information System,Toll plaza
KL-NH544-001,10.701,76.711,ghat_section,50,KL,NH-544,OpenStreetMap,Walayar ghat
KL-NH544-002,10.711,76.721,ghat_section,50,KL,NH-544,OpenStreetMap,Walayar ghat
KL-NH544-003,10.721,76.731,ghat_section,50,KL,NH-544,OpenStreetMap,Walayar ghat
KL-NH544-004,10.731,76.741,ghat_section,50,KL,NH-544,OpenStreetMap,Walayar ghat
KL-NH544-005,10.741,76.751,ghat_section,50,KL,NH-544,OpenStreetMap,Walayar ghat
KL-NH544-006,10.751,76.761,ghat_section,50,KL,NH-544,OpenStreetMap,Walayar ghat
