State,Offence,Section_MVAct,First_Offence_Fine_INR,Subsequent_Offence_Fine_INR,Effective_Date,Source_Notification,Notes
TN,No helmet,S.194B,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 3mo suspension
TN,No seatbelt,S.194A,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,Speeding,S.183,1000-2000,2000-4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,Mobile phone while driving,S.177,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,varies by state
TN,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
TN,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
TN,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TN,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
KA,No helmet,S.194B,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 3mo suspension
KA,No seatbelt,S.194A,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,Speeding,S.183,1000-2000,2000-4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,Mobile phone while driving,S.177,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,varies by state
KA,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
KA,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
KA,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KA,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
AP,No helmet,S.194B,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 3mo suspension
AP,No seatbelt,S.194A,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,Speeding,S.183,1000-2000,2000-4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,Mobile phone while driving,S.177,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,varies by state
AP,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
AP,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
AP,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
AP,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
KL,No helmet,S.194B,500,500,2019-10-23,Kerala Govt Notification 2019,reduced
KL,No seatbelt,S.194A,500,500,2019-10-23,Kerala Govt Notification 2019,reduced
KL,Speeding,S.183,1500,3000,2019-10-23,Kerala Govt Notification 2019,reduced
KL,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KL,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KL,Mobile phone while driving,S.177,2000,5000,2019-10-23,Kerala Govt Notification 2019,reduced
KL,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KL,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KL,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
KL,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
KL,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
KL,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
MH,No helmet,S.194B,500,500,2021-12-01,Maharashtra State Notification 2021,reduced
MH,No seatbelt,S.194A,1000,1000,2021-12-01,Maharashtra State Notification 2021,
MH,Speeding,S.183,1000-2000,2000-4000,2021-12-01,Maharashtra State Notification 2021,
MH,Drunk driving,S.185,10000,15000,2021-12-01,Maharashtra State Notification 2021,
MH,Red light violation,S.177A,1000,5000,2021-12-01,Maharashtra State Notification 2021,
MH,Mobile phone while driving,S.177,5000,10000,2021-12-01,Maharashtra State Notification 2021,
MH,Driving without license,S.181,5000,10000,2021-12-01,Maharashtra State Notification 2021,
MH,No insurance,S.196,2000,4000,2021-12-01,Maharashtra State Notification 2021,
MH,Dangerous driving,S.184,5000,10000,2021-12-01,Maharashtra State Notification 2021,imprisonment up to 1yr
MH,Overloading,S.194,20000,20000,2021-12-01,Maharashtra State Notification 2021,+ 2000/extra ton
MH,No registration,S.192,5000,10000,2021-12-01,Maharashtra State Notification 2021,
MH,Underage driving,S.199A,25000,25000,2021-12-01,Maharashtra State Notification 2021,3yr jail for guardian / vehicle registration cancelled
DL,No helmet,S.194B,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 3mo suspension
DL,No seatbelt,S.194A,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,Speeding,S.183,1000-2000,2000-4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,enhanced
DL,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,Mobile phone while driving,S.177,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
DL,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
DL,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
DL,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
RJ,No helmet,S.194B,200,200,2019-10-31,Rajasthan State Gazette 2019,reduced
RJ,No seatbelt,S.194A,200,200,2019-10-31,Rajasthan State Gazette 2019,reduced
RJ,Speeding,S.183,500,1000,2019-10-31,Rajasthan State Gazette 2019,reduced
RJ,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
RJ,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
RJ,Mobile phone while driving,S.177,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
RJ,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
RJ,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
RJ,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
RJ,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
RJ,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
RJ,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
UP,No helmet,S.194B,1000,1000,2020-07-31,UP Govt Gazette 2020,
UP,No seatbelt,S.194A,1000,1000,2020-07-31,UP Govt Gazette 2020,
UP,Speeding,S.183,1000-2000,2000-4000,2020-07-31,UP Govt Gazette 2020,
UP,Drunk driving,S.185,10000,15000,2020-07-31,UP Govt Gazette 2020,
UP,Red light violation,S.177A,1000,5000,2020-07-31,UP Govt Gazette 2020,
UP,Mobile phone while driving,S.177,5000,10000,2020-07-31,UP Govt Gazette 2020,
UP,Driving without license,S.181,5000,5000,2020-07-31,UP Govt Gazette 2020,
UP,No insurance,S.196,2000,4000,2020-07-31,UP Govt Gazette 2020,
UP,Dangerous driving,S.184,5000,10000,2020-07-31,UP Govt Gazette 2020,imprisonment up to 1yr
UP,Overloading,S.194,20000,20000,2020-07-31,UP Govt Gazette 2020,+ 2000/extra ton
UP,No registration,S.192,5000,10000,2020-07-31,UP Govt Gazette 2020,
UP,Underage driving,S.199A,25000,25000,2020-07-31,UP Govt Gazette 2020,3yr jail for guardian / vehicle registration cancelled
GJ,No helmet,S.194B,500,500,2019-09-16,Gujarat State Notification 2019,reduced
GJ,No seatbelt,S.194A,500,500,2019-09-16,Gujarat State Notification 2019,reduced
GJ,Speeding,S.183,1000-2000,2000-4000,2019-09-16,Gujarat State Notification 2019,
GJ,Drunk driving,S.185,10000,15000,2019-09-16,Gujarat State Notification 2019,
GJ,Red light violation,S.177A,1000,5000,2019-09-16,Gujarat State Notification 2019,
GJ,Mobile phone while driving,S.177,500,1000,2019-09-16,Gujarat State Notification 2019,reduced
GJ,Driving without license,S.181,2000-3000,3000,2019-09-16,Gujarat State Notification 2019,reduced
GJ,No insurance,S.196,1000-2000,2000,2019-09-16,Gujarat State Notification 2019,reduced
GJ,Dangerous driving,S.184,1500-5000,10000,2019-09-16,Gujarat State Notification 2019,reduced
GJ,Overloading,S.194,20000,20000,2019-09-16,Gujarat State Notification 2019,+ 2000/extra ton
GJ,No registration,S.192,5000,10000,2019-09-16,Gujarat State Notification 2019,
GJ,Underage driving,S.199A,25000,25000,2019-09-16,Gujarat State Notification 2019,3yr jail for guardian / vehicle registration cancelled
TS,No helmet,S.194B,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 3mo suspension
TS,No seatbelt,S.194A,1000,1000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,Speeding,S.183,1000-2000,2000-4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,Drunk driving,S.185,10000,15000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,Red light violation,S.177A,1000,5000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,Mobile phone while driving,S.177,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,varies by state
TS,Driving without license,S.181,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,No insurance,S.196,2000,4000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,Dangerous driving,S.184,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,imprisonment up to 1yr
TS,Overloading,S.194,20000,20000,2019-09-01,Motor Vehicles (Amendment) Act 2019,+ 2000/extra ton
TS,No registration,S.192,5000,10000,2019-09-01,Motor Vehicles (Amendment) Act 2019,
TS,Underage driving,S.199A,25000,25000,2019-09-01,Motor Vehicles (Amendment) Act 2019,3yr jail for guardian / vehicle registration cancelled
