law_id,mv_act_section,act_name,category,section_full_title,description,applicable_to,penalty_type,fine_min_inr,fine_max_inr,imprisonment,notes,effective_from,state,chatbot_keywords
LAW-001,119,Motor Vehicles Act 1988,Traffic Control,"Disobedience of orders, obstruction and refusal of information","Jumping red lights, ignoring traffic signals, disobeying police hand signals or road markings",All vehicles,Fine,1000,1000,None,Enforced via AI cameras and patrol; challan issued on the spot or via e-challan,01-09-2019,Tamil Nadu / India,"signal,red light,traffic light,jumping signal"
LAW-002,119A,Motor Vehicles Act 1988,Traffic Control,Regulation of traffic by traffic signs,"Failing to follow directional signs, lane discipline signs, or mandatory road signs",All vehicles,Fine,500,1000,None,"Includes wrong-way driving, ignoring no-entry signs",01-09-2019,Tamil Nadu / India,traffic control
LAW-003,122,Motor Vehicles Act 1988,Traffic Control,Parking in prohibited area,"Stopping or parking in no-parking zones, bus stops, pedestrian crossings, or yellow-line areas",All vehicles,Fine,500,1500,None,Higher fines in metro areas; vehicle may be towed at owner's cost,01-07-1989,Tamil Nadu / India,"parking,wrong parking,no parking,towing; pedestrian,zebra crossing,footpath"
LAW-004,177,Motor Vehicles Act 1988,Traffic Control,General provision for punishment of offences,Any traffic violation not specifically covered under another section — general catch-all provision,All vehicles,Fine,500,1500,None,First offence Rs.500; subsequent offence Rs.1500,01-07-1989,Tamil Nadu / India,traffic control
LAW-005,178,Motor Vehicles Act 1988,Traffic Control,Penalty for travelling without pass or ticket,Conductor or driver allowing passengers to travel without valid ticket in stage carriage,Bus/Stage carriage,Fine,500,1000,None,"Applicable to TNSTC, MTC, and private buses in Tamil Nadu",01-07-1989,Tamil Nadu / India,traffic control
LAW-006,179,Motor Vehicles Act 1988,Traffic Control,Disobedience to authority,Refusing to stop vehicle when directed by a police officer or traffic authority,All vehicles,Fine + Imprisonment,2000,2000,Up to 3 months,Includes refusal to provide documents when demanded by authority,01-09-2019,Tamil Nadu / India,traffic control
LAW-007,180,Motor Vehicles Act 1988,Traffic Control,Allowing unauthorised persons to drive vehicles,Permitting a person without a valid licence to drive your vehicle,All vehicles,Fine,5000,5000,None,Owner of vehicle held liable,01-09-2019,Tamil Nadu / India,"licence,license,DL,driving licence,no licence"
LAW-008,3,Motor Vehicles Act 1988,Driver Licensing,Necessity for driving licence,No person shall drive a motor vehicle in any public place without a valid driving licence,All vehicles,Informational,0,0,None,Foundational provision; violation penalised under Section 181,01-07-1989,Tamil Nadu / India,"licence,license,DL,driving licence,no licence"
LAW-009,181,Motor Vehicles Act 1988,Driver Licensing,Driving without licence,Driving or riding a motor vehicle in a public place without holding a valid driving licence,All vehicles,Fine,5000,5000,None,Revised from Rs.500 to Rs.5000 in MV Amendment 2019; licence confiscation also possible,01-09-2019,Tamil Nadu / India,"licence,license,DL,driving licence,no licence"
LAW-010,182,Motor Vehicles Act 1988,Driver Licensing,Driving despite disqualification,"Driving a vehicle when the licence has been suspended, revoked, or disqualified by court or authority",All vehicles,Fine + Imprisonment,10000,10000,Up to 3 months,Repeat offence: up to 2 years imprisonment,01-09-2019,Tamil Nadu / India,"licence,license,DL,driving licence,no licence"
LAW-011,182A,Motor Vehicles Act 1988,Driver Licensing,Vehicle not complying with standards,Driving or selling a vehicle that does not conform to safety or emission standards prescribed by the government,All vehicles,Fine + Imprisonment,1000,5000,Up to 6 months,"Includes altered vehicles; applies to manufacturers, dealers, and owners",01-09-2019,Tamil Nadu / India,driver licensing
LAW-012,199A,Motor Vehicles Act 1988,Driver Licensing,Offences by juveniles — guardian and owner liability,Motor vehicle offence committed by a person under 18 years; guardian and vehicle owner held liable,All vehicles,Fine + Imprisonment,25000,25000,3 years (guardian/owner),Vehicle registration cancelled; minor tried under Juvenile Justice Act,01-09-2019,Tamil Nadu / India,driver licensing
LAW-013,39,Motor Vehicles Act 1988,Vehicle Registration,Necessity for registration,No person shall drive a motor vehicle in any public place unless the vehicle is registered under the Act,All vehicles,Informational,0,0,None,Registration must be renewed after validity; penalty under Section 192,01-07-1989,Tamil Nadu / India,"RC,registration,unregistered vehicle"
